Time_sec,Roll_deg,Pitch_deg,Yaw_deg
33.06,2.621e-07,5.78861e-08,1.48462e-15
33.07,2.621e-07,5.78861e-08,1.48525e-15
33.08,2.621e-07,5.78861e-08,1.48529e-15
33.09,2.621e-07,5.78861e-08,1.48731e-15
33.1,2.621e-07,5.78861e-08,1.48697e-15
33.11,2.621e-07,5.78862e-08,1.48837e-15
33.12,2.621e-07,5.7886e-08,1.49031e-15
33.13,2.621e-07,5.78861e-08,1.49133e-15
33.14,2.621e-07,5.7886e-08,1.49295e-15
33.15,2.621e-07,5.7886e-08,1.49297e-15
33.16,2.621e-07,5.78862e-08,1.49342e-15
33.17,2.621e-07,5.78861e-08,1.49474e-15
33.18,2.621e-07,5.78861e-08,1.49536e-15
33.19,2.621e-07,5.78861e-08,1.49628e-15
33.2,2.621e-07,5.78861e-08,1.4982e-15
33.21,2.621e-07,5.78861e-08,1.49881e-15
33.22,2.621e-07,5.78861e-08,1.49933e-15
33.23,2.621e-07,5.78862e-08,1.50098e-15
33.24,2.621e-07,5.78861e-08,1.50287e-15
33.25,2.621e-07,5.7886e-08,1.50325e-15
33.26,2.621e-07,5.78861e-08,1.50325e-15
33.27,2.621e-07,5.78861e-08,1.50523e-15
33.28,2.621e-07,5.7886e-08,1.50538e-15
33.29,2.621e-07,5.78861e-08,1.50594e-15
33.3,2.621e-07,5.78862e-08,1.50619e-15
33.31,2.621e-07,5.78862e-08,1.50793e-15
33.32,2.621e-07,5.78861e-08,1.50847e-15
33.33,2.621e-07,5.7886e-08,1.50975e-15
33.34,2.621e-07,5.7886e-08,1.51044e-15
33.35,2.621e-07,5.78861e-08,1.5119e-15
33.36,2.621e-07,5.7886e-08,1.51244e-15
33.37,2.621e-07,5.78861e-08,1.5128e-15
33.38,2.621e-07,5.78861e-08,1.51414e-15
33.39,2.621e-07,5.78861e-08,1.51536e-15
33.4,2.621e-07,5.78862e-08,1.51651e-15
33.41,2.621e-07,5.78861e-08,1.51731e-15
33.42,2.621e-07,5.78862e-08,1.51831e-15
33.43,2.621e-07,5.78861e-08,1.51983e-15
33.44,2.621e-07,5.78861e-08,1.52012e-15
33.45,2.621e-07,5.78861e-08,1.52155e-15
33.46,2.621e-07,5.78862e-08,1.5224e-15
33.47,2.621e-07,5.78861e-08,1.52395e-15
33.48,2.621e-07,5.78862e-08,1.52372e-15
33.49,2.621e-07,5.78861e-08,1.52455e-15
33.5,2.621e-07,5.7886e-08,1.52573e-15
33.51,2.621e-07,5.78861e-08,1.5271e-15
33.52,2.621e-07,5.78861e-08,1.52811e-15
33.53,2.621e-07,5.78861e-08,1.52937e-15
33.54,2.621e-07,5.78861e-08,1.53137e-15
33.55,2.621e-07,5.7886e-08,1.53196e-15
33.56,2.621e-07,5.78861e-08,1.5315e-15
33.57,2.621e-07,5.78861e-08,1.53317e-15
33.58,2.621e-07,5.78861e-08,1.53318e-15
33.59,2.621e-07,5.78861e-08,1.53454e-15
33.6,2.621e-07,5.78861e-08,1.53527e-15
33.61,2.621e-07,5.78861e-08,1.53698e-15
33.62,2.621e-07,5.78861e-08,1.53791e-15
33.63,2.621e-07,5.78861e-08,1.539e-15
33.64,2.621e-07,5.7886e-08,1.54142e-15
33.65,2.621e-07,5.78861e-08,1.54117e-15
33.66,2.621e-07,5.7886e-08,1.54223e-15
33.67,2.621e-07,5.78861e-08,1.54225e-15
33.68,2.621e-07,5.78861e-08,1.54226e-15
33.69,2.621e-07,5.7886e-08,1.5419e-15
33.7,2.621e-07,5.78861e-08,1.54257e-15
33.71,2.621e-07,5.78862e-08,1.54365e-15
33.72,2.621e-07,5.78861e-08,1.54533e-15
33.73,2.621e-07,5.78861e-08,1.5448e-15
33.74,2.621e-07,5.78861e-08,1.5461e-15
33.75,2.621e-07,5.78861e-08,1.54633e-15
33.76,2.621e-07,5.78861e-08,1.54835e-15
33.77,2.621e-07,5.78861e-08,1.54873e-15
33.78,2.621e-07,5.78861e-08,1.54906e-15
33.79,2.621e-07,5.78861e-08,1.54893e-15
33.8,2.621e-07,5.78861e-08,1.54936e-15
33.81,2.621e-07,5.78861e-08,1.55034e-15
33.82,2.621e-07,5.78861e-08,1.55212e-15
33.83,2.621e-07,5.78861e-08,1.55309e-15
33.84,2.621e-07,5.7886e-08,1.55383e-15
33.85,2.621e-07,5.78861e-08,1.55463e-15
33.86,2.621e-07,5.78861e-08,1.55517e-15
33.87,2.621e-07,5.78861e-08,1.55712e-15
33.88,2.621e-07,5.78861e-08,1.5567e-15
33.89,2.621e-07,5.78861e-08,1.55875e-15
33.9,2.621e-07,5.78861e-08,1.55957e-15
33.91,2.621e-07,5.78861e-08,1.56099e-15
33.92,2.621e-07,5.78861e-08,1.5626e-15
33.93,2.621e-07,5.78861e-08,1.5633e-15
33.94,2.621e-07,5.78861e-08,1.56421e-15
33.95,2.621e-07,5.78862e-08,1.56451e-15
33.96,2.621e-07,5.78861e-08,1.56545e-15
33.97,2.621e-07,5.78861e-08,1.56545e-15
33.98,2.621e-07,5.78861e-08,1.5662e-15
