q1,q2,q3,q4,q5,q6,qw,qx,qy,qz,wx,wy,wz
-6.301184087647296e-20,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,1.5699896555539268e-19,1.0,1.2423607804287503e-09,2.2679648180924376e-09,6.068108996280551e-12,-1.3202971611038323e-12,2.035667766848828e-12,-5.3624503798207104e-18
2.2780854760383443e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,1.6305568234413906e-19,1.0,1.242361098247297e-09,2.2679644058980507e-09,6.068108988920257e-12,-9.055559613869817e-13,-1.8310285018795483e-12,4.178528738051728e-18
4.377354581002275e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,5.240125107567755e-20,1.0,1.2423612028403918e-09,2.2679637065802003e-09,6.068108991458417e-12,5.601814173049517e-13,-9.180679821961779e-13,8.980243319555533e-18
4.533026630418149e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,2.4589346639673008e-20,1.0,1.242361606135092e-09,2.267964943487522e-09,6.0681089823357635e-12,1.921817915303426e-12,1.2330574483644405e-12,4.199345419763451e-18
4.3121678360494385e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,1.4614269862776504e-19,1.0,1.2423606995096753e-09,2.267964896133224e-09,6.068108971432926e-12,4.40001551246118e-13,2.761499298632471e-13,-1.882595087011235e-18
6.936553280101126e-20,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,3.412901120299028e-20,1.0,1.2423613644751088e-09,2.267963845903456e-09,6.0681089698546194e-12,5.60155562986266e-13,-9.180530150020277e-13,1.0270877585682276e-17
1.5006192016135913e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,8.606697929122924e-20,1.0,1.242361364505637e-09,2.267964242749497e-09,6.06810895213628e-12,3.548740073432329e-13,1.9136419190891614e-12,-6.177770413529808e-18
3.4533204095177812e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,5.859610583293181e-20,1.0,1.242361198729782e-09,2.2679646738560046e-09,6.068108954884628e-12,1.9216661339381732e-12,1.2330454302001992e-12,1.2914596163070931e-17
1.2410467061158537e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,2.2331075329744595e-20,1.0,1.2423613032426006e-09,2.2679639745765436e-09,6.068108949623478e-12,-2.0539019630095952e-12,-6.862865895062e-13,-7.468404679656552e-18
3.972103988407539e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,7.870237000126258e-20,1.0,1.242361033842179e-09,2.2679641578237168e-09,6.068108945448473e-12,4.4001283388760607e-13,2.761533437990479e-13,-1.396872513737727e-18
