time,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,ax,ay,az,imu_wx,imu_wy,imu_wz,v_bx,v_by,v_bz,w_bx,w_by,w_bz,target_dq1,target_dq2,target_dq3,target_dq4,target_dq5,target_dq6
76.42,2.8314479275888585e-13,-1.569999999995694,1.570137795685852,-1.569999999984577,-1.569999999999939,-1.0830774794947258e-14,3.4722468804741904e-11,-1.236461902897844e-10,-1.2871943714343426e-10,-1.447030211587377e-10,2.0458087162539013e-12,-5.264469352427904e-13,0.008780346729050417,-0.03225681019847332,-9.80002934819005,1.837178856584291e-05,-3.103472827539516e-06,0.0034495204357852527,0.3999997750658971,-4.450890328053141e-12,0.0,0.0,0.0,-2.2063747207671038e-11,-1.52699203575216e-11,1.6416985758229643,-1.6431922713726164,0.0014936955496810806,-3.436716604731198e-14,-3.733397402161763e-11
76.44,5.798901548851322e-13,-1.5699266936228942,1.5701871384697197,-1.5699999999837488,-1.5699999999996568,-8.294899770361195e-14,1.7762146964296795e-11,-0.0008145152762017,-0.002079316188671,1.2212430225651326e-11,1.1723212790202284e-11,-2.9574344885476174e-12,0.14033057288704162,-0.6079416922028968,-9.800390117333182,0.0004059599563885397,-4.0911370704450306e-05,0.0439564888424731,0.48619423187033534,-4.6060319226720135e-12,0.0,0.0,0.0,-2.1443910757227788e-11,-1.6351227381892827e-11,1.995461956062944,-1.9974446555106968,0.0019826994477820273,-3.965280860066242e-14,-3.779550709495497e-11
76.46,8.425178673498266e-13,-1.569940621834086,1.570151582162888,-1.5699999999835643,-1.5699999999995018,-1.2137873393063186e-13,1.0668527869396769e-11,-0.0006597573708052,-0.0016842461130685,8.006661349380009e-12,5.429788590321019e-12,-1.3017406841038873e-12,0.24677185596992104,-1.1290432579487961,-9.800710596019217,0.0007514280988931999,-7.668833130071417e-05,0.08258690994502575,0.5665229410937226,-4.795995494291144e-12,0.0,0.0,0.0,-2.0970222165598384e-11,-1.7642816555603753e-11,2.325151020874106,-2.327424298870384,0.0022732779963106774,-3.939946093600474e-14,-3.861303167929494e-11
76.48,9.933394722361959e-13,-1.5699519036851026,1.5701227815543508,-1.569999999983445,-1.5699999999994436,-1.3394254267508706e-13,5.8794327371068655e-12,-0.0005344034681676,-0.0013642393517195,5.149194106007554e-12,1.3690017476304488e-12,-1.9127052914603981e-13,0.31424290756413326,-1.5590630845320739,-9.800966102095405,0.0010247166009234548,-0.00010870699375605615,0.11768850932095723,0.6367979160334515,-5.035818982777284e-12,0.0,0.0,0.0,-2.0706935354256767e-11,-1.896565997745083e-11,2.613577062098192,-2.6160986420964916,0.0025215799983319383,-3.8309174335715504e-14,-3.967089290269438e-11
76.5,1.0704622075175726e-12,-1.5699610419843908,1.5700994530614334,-1.5699999999833698,-1.5699999999994465,-1.294785137564357e-13,2.679237108321915e-12,-0.000432866807625,-0.0011050338749861,3.1949113358164735e-12,-1.2335552365813282e-12,5.292711391770635e-13,0.33920306731733607,-1.8814581656281262,-9.801146998315591,0.0012118713006990212,-0.0001356546715545831,0.14792382292760817,0.6949795084033391,-5.320628132273369e-12,0.0,0.0,0.0,-2.0621918904946923e-11,-2.0290673163087275e-11,2.8523688507962475,-2.8550910355579666,0.002722184761752276,-3.813139302728038e-14,-4.0913899154804033e-11
76.52,1.1000505992586334e-12,-1.5699684440067898,1.570080556982169,-1.5699999999833238,-1.5699999999994865,-1.1558322147744146e-13,7.178986273720725e-13,-0.000350622113149,-0.000895077438797,1.963446576548969e-12,-2.7068005091024708e-12,8.62039457286308e-13,0.3251519257488485,-2.09455866633047,-9.801254013380538,0.0013133336054748947,-0.0001567445613287372,0.1723906865668555,0.7407311001730192,-5.631380244373275e-12,0.0,0.0,0.0,-2.0619417660866478e-11,-2.1568662038138357e-11,3.0401448194683027,-3.0430204987906384,0.0028756793223687497,-3.950736109431013e-14,-4.218873382937709e-11
76.54,1.0997368639876897e-12,-1.5699744396449171,1.5700652511579645,-1.5699999999832963,-1.5699999999995486,-9.696409046019567e-14,-5.44281972465234e-13,-0.0002840039109719,-0.0007250127254573,1.1770242636108068e-12,-3.629167536693505e-12,1.0470773418235976e-12,0.2791325793387491,-2.2056983633710616,-9.801293419254423,0.0013388907828310115,-0.00017170039063162918,0.1906405207197342,0.7748353570878685,-5.9422105937137375e-12,0.0,0.0,0.0,-2.0578808658874265e-11,-2.2734281784684323e-11,3.18011722123609,-3.1831035158284826,0.002986294592427119,-3.8270651795092174e-14,-4.331171096669519e-11
76.56,1.082522156084164e-12,-1.569979296111787,1.570052853440358,-1.569999999983282,-1.5699999999996177,-7.7460322718724e-14,-1.0243635095979337e-12,-0.0002300431669801,-0.0005872603076799,4.4099682554380994e-13,-3.150545742260785e-12,8.801975397458238e-13,0.20938766680866625,-2.2271715194689294,-9.80127407529473,0.0013030443273280502,-0.00018065839881129444,0.20261770825442402,0.7987299251805177,-6.227159879382785e-12,0.0,0.0,0.0,-2.0387878526119953e-11,-2.3729027006316105e-11,3.278186512485534,-3.281246709269333,0.0030601967838345787,-3.840647956881989e-14,-4.4117789774561575e-11
76.58,1.062596407505917e-12,-1.5699832298499308,1.5700428112890952,-1.569999999983282,-1.5699999999996646,-6.43583331055837e-14,-1.0785269839762648e-12,-0.0001863349641287,-0.0004756808492756,-2.673258783661512e-13,-1.9243290229516152e-12,5.432556666887592e-13,0.12401117315608691,-2.1737230708115725,-9.801205947335179,0.0012217437470263533,-0.00018404135223271256,0.20856364186144494,0.8141570308424262,-6.465729028208325e-12,0.0,0.0,0.0,-1.9968243869824116e-11,-2.452862474483643e-11,3.341503224001415,-3.344607508688363,0.0031042846869823782,-3.8325413471468815e-14,-4.449641461898195e-11
76.6,1.0227532591262798e-12,-1.569986416177792,1.5700346771465707,-1.5699999999833023,-1.5699999999997127,-5.122910485087107e-14,-2.819730072264187e-12,-0.0001509313186351,-0.000385301488077,-1.5886061031504832e-12,-2.9353301202444254e-12,7.843676879878969e-13,0.03062593489099284,-2.0610442944628,-9.801099727445923,0.0011102543519421757,-0.00018244613082888116,0.2089253602635811,0.8229142813570992,-6.644890828178967e-12,0.0,0.0,0.0,-1.928203107867424e-11,-2.5051652317373123e-11,3.3774451840200643,-3.3805705633114727,0.003125379291447159,-3.690286180780894e-14,-4.433386447583859e-11
76.62,9.573946893059125e-13,-1.5699889971033194,1.5700280884911235,-1.5699999999833425,-1.5699999999997742,-3.5137781115695045e-14,-3.815602415730042e-12,-0.0001222543661584,-0.0003120942054706,-2.431953964111052e-12,-3.342895933482713e-12,8.671501423819158e-13,-0.06320908043080908,-1.9046555814632626,-9.800966890191168,0.0009819280219635158,-0.00017657307949579365,0.20430006025313147,0.8266903888664268,-6.757103901360171e-12,0.0,0.0,0.0,-1.8319096576602327e-11,-2.5259453548296032e-11,3.3929432882587314,-3.396073003715344,0.0031297154566479017,-3.6209384771328454e-14,-4.357708032238933e-11
76.64,8.698683633429962e-13,-1.5699910876529972,1.5700227516802103,-1.5699999999833758,-1.5699999999998886,-8.748387203964626e-15,-4.7523205802448696e-12,-9.902603799568372e-05,-0.0002527963063475,-1.231559725213419e-12,-7.157445819296234e-12,1.5866232481488718e-12,-0.1499264608916194,-1.7189761316499501,-9.800819290412479,0.0008476475824747145,-0.0001671976409144862,0.19541792993773016,0.8269685562209201,-6.798180911099249e-12,0.0,0.0,0.0,-1.7084790432049132e-11,-2.515340525775844e-11,3.3940849712301153,-3.3972076327910616,0.0031226615609783854,-3.51760810821574e-14,-4.223883734912968e-11
76.66,7.719180003328559e-13,-1.5699927809982068,1.5700184288633692,-1.5699999999834204,-1.5700000000000034,1.7468714988571313e-14,-5.6383249306436725e-12,-8.021108569823453e-05,-0.0002047650084824,-3.921771352388963e-12,-4.198514745503562e-12,1.0833668760267673e-12,-0.2231187240334307,-1.5170313118987238,-9.800668078388664,0.0007157213176964719,-0.00015515423444804633,0.18313051642501119,0.8249810184823624,-6.768484133123809e-12,0.0,0.0,0.0,-1.560477679911259e-11,-2.4780816003722885e-11,3.3859276331487718,-3.3890362388181026,0.0031086056693626343,-3.250840461840382e-14,-4.0384676096032404e-11
76.68,6.721821939204336e-13,-1.5699941526077592,1.5700149273817243,-1.5699999999834953,-1.570000000000069,3.415393060955788e-14,-4.850102036570853e-12,-6.497097834818763e-05,-0.0001658596569451,-3.773336619391696e-12,-2.884588076214334e-12,7.209875600190653e-13,-0.27908266221502587,-1.310810852132841,-9.800522719075177,0.0005920357254894132,-0.00014129714360764905,0.1683646806737501,0.8217000443699763,-6.675667850262441e-12,0.0,0.0,0.0,-1.3936862792284152e-11,-2.4185248600368903e-11,3.3724617075677488,-3.375552665109155,0.003090957541438087,-3.135711782493144e-14,-3.812247569282076e-11
76.7,5.746131592410218e-13,-1.569995263611461,1.5700120911815891,-1.5699999999835763,-1.5700000000001175,4.5283764914171487e-14,-5.506658260075962e-12,-5.2626489265449526e-05,-0.0001343463223467,-4.8859374078013296e-12,-2.164251599928637e-12,3.659512878275914e-13,-0.31703663838140606,-1.1112322869965692,-9.800390655272174,0.00048034059729156885,-0.0001264351375469591,0.1520396755935279,0.817853043816631,-6.534529926870827e-12,0.0,0.0,0.0,-1.2167921381183593e-11,-2.3440630608471367e-11,3.3566726665237216,-3.3597448920536745,0.0030722255299789757,-2.913686124355327e-14,-3.560882392854488e-11
76.72,4.794520441962357e-13,-1.5699961635244228,1.5700097938594764,-1.569999999983663,-1.5700000000001513,5.0787104668566674e-14,-4.553068629043443e-12,-4.262745591083295e-05,-0.0001088205211183,-4.179359376616345e-12,-1.5455648100324432e-12,2.438761337515173e-13,-0.3380764744695821,-0.9272794472536984,-9.800277242025485,0.0003826070271131242,-0.0001112720747083144,0.134987828526262,0.8139519223769914,-6.363225591012282e-12,0.0,0.0,0.0,-1.0393564197893638e-11,-2.260006106536019e-11,3.3406614983299696,-3.3437156346215287,0.0030541362915858295,-2.6422379820729466e-14,-3.299299234865108e-11
76.74,3.9574071199827845e-13,-1.5699968924539145,1.5700079330285646,-1.5699999999837368,-1.5700000000001837,5.6582162055000246e-14,-4.327171250712112e-12,-3.4528238812846043e-05,-8.814462213502212e-05,-3.676616642732356e-12,-1.986339444434628e-12,3.872866654111573e-13,-0.34414571759636986,-0.7651107121252414,-9.800185618071982,0.0002994215489817279,-9.638007905338062e-05,0.11791294251863817,0.8103292153916285,-6.178956486448205e-12,0.0,0.0,0.0,-8.696922093513017e-12,-2.1750055205299118e-11,3.325793011187742,-3.328830784386388,0.003037773198670433,-2.4030966849370016e-14,-3.044814657876087e-11
