q1,q2,q3,q4,q5,q6,wx_filt,wy_filt,wz_filt,target_dq1,target_dq2,target_dq3,target_dq4,target_dq5,target_dq6
-6.301184087647296e-20,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,1.5699896555539268e-19,-1.3717168626869424e-12,2.0612816416654445e-12,-5.822574594058613e-18,2.7648631601367946e-16,6.870935187576686e-13,6.870935187576687e-13,6.870935187576687e-13,-1.3717162122223815e-12,1.3629989106965824e-15
2.2780854760383443e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,1.6305568234413906e-19,-1.2653746936399696e-12,1.913329834415494e-12,-5.5083380888891065e-18,2.566929124606915e-16,6.377762773234275e-13,6.377762773234276e-13,6.377762773234276e-13,-1.2653740924049096e-12,1.2588366035730017e-15
4.377354581002275e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,5.240125107567755e-20,-1.1573917983258068e-12,1.7636208730203898e-12,-5.17933961530237e-18,2.3665891710787714e-16,5.878733182475612e-13,5.878733182475614e-13,5.878733182475614e-13,-1.1573912470203043e-12,1.1531419119976239e-15
4.533026630418149e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,2.4589346639673008e-20,-1.0485414550720358e-12,1.6131853411386214e-12,-4.837937872310066e-18,2.1652228920290748e-16,5.377281692167844e-13,5.377281692167846e-13,5.377281692167846e-13,-1.0485409540429824e-12,1.0466662189271498e-15
4.3121678360494394e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,1.4614269862776504e-19,-9.395877129113476e-13,1.4630437831788533e-12,-4.4864923817893426e-18,1.9641965598809045e-16,4.876810115035081e-13,4.876810115035082e-13,4.876810115035082e-13,-9.395872621564594e-13,9.401522249533727e-16
6.936553280101126e-20,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,3.412901120299028e-20,-8.312728449569995e-13,1.3141913932775327e-12,-4.127318328224881e-18,1.7648425802930019e-16,4.3806357629489364e-13,4.380635762948937e-13,4.380635762948937e-13,-8.312724441343812e-13,8.34321947576526e-16
1.5006192016135913e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,8.606697929122925e-20,-7.243060918740671e-13,1.1675838666683802e-12,-3.762647626835504e-18,1.5684405193254907e-16,3.8919442848555655e-13,3.891944284855566e-13,3.891944284855566e-13,-7.243057403168282e-13,7.298658989760008e-16
3.453320409517781e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,5.859610583293181e-20,-6.193539687692421e-13,1.0241246654288185e-12,-3.394597288877878e-18,1.3762000442623482e-16,3.4137472192886977e-13,3.4137472192886987e-13,3.4137472192886987e-13,-6.193536655045179e-13,6.274336928419543e-16
1.2410467061158537e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,2.2331075329744595e-20,-5.17032300599407e-13,8.846538736420743e-13,-3.0251456552126285e-18,1.1892460132587343e-16,2.948844844930701e-13,2.9488448449307015e-13,2.9488448449307015e-13,-5.170320443710743e-13,5.276262346873105e-16
3.972103988407539e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,7.870237000126258e-20,-4.1790005495331886e-13,7.499387620319505e-13,-2.656116623225344e-18,1.0086058737793586e-16,2.499794729411489e-13,2.49979472941149e-13,2.49979472941149e-13,-4.178998442476577e-13,4.309895663422358e-16
6.309972858141485e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,8.129160015905907e-20,-3.2245496141192306e-13,6.20666145757294e-13,-2.2891716006144647e-18,8.351994795657866e-17,2.068886255302033e-13,2.0688862553020334e-13,2.0688862553020334e-13,-3.2245479448547196e-13,3.380103672754399e-16
5.615638430973651e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,1.2926888941631025e-19,-2.3113084872993196e-13,4.974365892557704e-13,-1.9258086172996745e-18,6.698313948120364e-17,1.6581213029346079e-13,1.6581213029346084e-13,1.6581213029346084e-13,-2.311307236387993e-13,2.4911306542562863e-16
5.193662695834665e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,3.964700540088513e-20,-1.4429659333811338e-13,3.8076047667064463e-13,-1.5673678349899116e-18,5.131857063446411e-17,1.2692011518290076e-13,1.269201151829008e-13,1.269201151829008e-13,-1.4429650796804015e-13,1.646584755739305e-16
2.6284204866874593e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-2.2554940912792542e-20,-6.225654193264547e-14,2.7105592434131824e-13,-1.2150425669631085e-18,3.658233081554245e-17,9.035195223275298e-14,9.0351952232753e-14,9.0351952232753e-14,-6.225649402915883e-14,8.494385329670391e-17
2.6565150320386963e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,1.1269627586075177e-19,1.474776432388622e-14,1.6864846854275432e-13,-8.698947792116175e-19,2.281815644658919e-17,5.6216153472287443e-14,5.621615347228745e-14,5.621615347228745e-14,1.474777712582701e-14,1.0204218798634054e-17
6.903173558034576e-20,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,3.4190684260797915e-21,8.653477353932502e-14,7.37724212124677e-14,-5.328738691676968e-19,1.0057620294668874e-17,2.459082283417083e-14,2.4590822834170832e-14,2.4590822834170832e-14,8.653475368671117e-14,-5.938522987766161e-17
1.3844174366100006e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-1.4534105888115774e-19,1.529792509566062e-13,-1.3426250277439352e-14,-2.048373827751311e-19,-1.6794759645327056e-18,-4.475383922396666e-15,-4.4753839223966666e-15,-4.4753839223966666e-15,1.5297920095122263e-13,-1.237058207844933e-16
3.7445158111300754e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-5.2421659206950687e-20,2.1400799341981023e-13,-9.28856959485036e-14,1.1342767224888904e-19,-1.2384530056786808e-17,-3.096185015547537e-14,-3.096185015547538e-14,-3.096185015547538e-14,2.1400791579287578e-13,-1.826914450060637e-16
